day,tissue,Treatment,mean,n,sd,se
0,Serum,NM,0.08636363636363636,22,0.4050813610756598,0.018412789139802717
0,Serum,Inject,1.0681818181818181,22,5.010216834356845,0.22773712883440203
0,Serum,Feed,0,20,0,0
0,Nasal,NM,0,22,0,0
0,Nasal,Inject,0,22,0,0
0,Nasal,Feed,0,21,0,0
1,Serum,NM,0.1590909090909091,22,0.5645555275816044,0.025661614890072928
1,Serum,Inject,1615.290909090909,22,564.9069109230812,25.677586860140057
1,Serum,Feed,93.99,20,32.89509481910479,1.6447547409552397
3,Serum,NM,0.1272727272727273,22,0.43004077124740736,0.019547307783973063
3,Serum,Inject,306.73333333333335,21,176.37889990963583,8.398995233792183
3,Serum,Feed,99.86190476190477,21,20.33215375188955,0.9681977977090261
4,Serum,NM,0.13636363636363635,22,0.4675625290960757,0.021252842231639806
4,Serum,Inject,159.1809523809524,21,110.16707593036868,5.246051234779461
4,Serum,Feed,66.2,21,13.747072415609077,0.6546224959813847
4,Nasal,NM,0.3904761904761905,21,0.783520747590491,0.03731051179002338
4,Nasal,Inject,5.1,22,3.366077270425649,0.15300351229207496
4,Nasal,Feed,169.18571428571428,21,61.46870981006747,2.9270814195270227
4,Ileum,NM,0,7,0,0
4,Ileum,Inject,240.78571428571428,7,125.62639622536112,17.946628032194447
4,Ileum,Feed,4455.457142857143,7,981.2760856101999,140.18229794431426
4,feces,NM,0,7,0,0
4,feces,Inject,3294.785714285714,7,1987.0226449209308,283.86037784584727
4,feces,Feed,97744.52857142857,7,24559.845805889086,3508.549400841298
7,Serum,NM,0.23125,16,0.6384551667893369,0.039903447924333556
7,Serum,Inject,61.25333333333334,15,43.133594243709304,2.8755729495806204
7,Serum,Feed,32.614285714285714,14,11.625956181874125,0.8304254415624375
7,Nasal,NM,2.157142857142857,14,3.369709936321679,0.24069356688011995
7,Nasal,Inject,3.42,15,2.588491011049819,0.17256606740332128
7,Nasal,Feed,138.90714285714284,14,80.93060146043184,5.780757247173703
7,Ileum,NM,0,7,0,0
7,Ileum,Inject,54.385714285714286,7,41.86268937735321,5.980384196764745
7,Ileum,Feed,793.1666666666666,6,439.9099165359502,73.31831942265836
7,feces,NM,0,7,0,0
7,feces,Inject,738.0428571428571,7,714.4368104951452,102.06240149930646
7,feces,Feed,71412.68333333333,6,30493.26345869964,5082.21057644994
9,Serum,NM,0,9,0,0
9,Serum,Inject,52.975,8,37.28867120185433,4.661083900231791
9,Serum,Feed,19.34285714285714,7,5.629344882801534,0.8041921261145049
9,feces,NM,15,8,9.258200997725515,1.1572751247156894
9,feces,Inject,453.8857142857143,7,410.98900807917573,58.712715439882246
9,feces,Feed,5029.671428571429,7,3875.9056781240547,553.7008111605793
11,Serum,NM,0.125,8,0.3535533905932738,0.04419417382415922
11,Serum,Inject,27.974999999999998,8,15.872325421491153,1.9840406776863941
11,Serum,Feed,8.285714285714286,7,1.96420346148133,0.2806004944973329
11,Nasal,NM,0,8,0,0
11,Nasal,Inject,2.2,8,1.6457738084473907,0.20572172605592384
11,Nasal,Feed,3.242857142857143,7,3.2979069841629065,0.4711295691661295
11,feces,NM,17.5,8,7.0710678118654755,0.8838834764831844
11,feces,Inject,217.8125,8,197.43977336682408,24.67997167085301
11,feces,Feed,87.63333333333334,6,35.20759387783645,5.867932312972742
14,Serum,NM,0,8,0,0
14,Serum,Inject,15.5,8,4.781810774770817,0.5977263468463522
14,Serum,Feed,4.214285714285714,7,1.0431180365113233,0.14901686235876047
14,Nasal,NM,0,8,0,0
14,Nasal,Inject,0.5875,8,0.8408116826699578,0.10510146033374472
14,Nasal,Feed,2.4,7,0.46188021535170065,0.06598288790738581
14,Ileum,NM,5,8,9.258200997725515,1.1572751247156894
14,Ileum,Inject,12.5,8,10.350983390135314,1.2938729237669142
14,Ileum,Feed,11.428571428571429,7,10.690449676496975,1.527207096642425
14,feces,NM,20,9,0,0
14,feces,Inject,91.9125,8,47.89674720539113,5.987093400673891
14,feces,Feed,37.98571428571429,7,14.147370612170137,2.0210529445957337
